"RK",TIERS,"PLAYER NAME",TEAM,"BYE","SOS","ECR VS ADP"
"1",1,"Brandon Aubrey",DAL,"14","2 out of 5 stars","0"
"2",1,"Cameron Dicker",LAC,"7","2 out of 5 stars","+1"
"3",1,"Ka'imi Fairbairn",HOU,"8","2 out of 5 stars","+1"
"4",2,"Cam Little",JAC,"7","4 out of 5 stars","+1"
"5",2,"Jason Myers",SEA,"11","4 out of 5 stars","-3"
"6",2,"Chase McLaughlin",TB,"10","3 out of 5 stars","+12"
"7",2,"Will Reichard",MIN,"6","2 out of 5 stars","+5"
"8",3,"Eddy Pineiro",SF,"8","5 out of 5 stars","+2"
"9",3,"Jake Bates",DET,"6","5 out of 5 stars","-1"
"10",3,"Chris Boswell",PIT,"9","4 out of 5 stars","+5"
"11",3,"Harrison Butker",KC,"5","5 out of 5 stars","-4"
"12",3,"Harrison Mevis",LAR,"11","2 out of 5 stars","-6"
"13",3,"Tyler Loop",BAL,"13","3 out of 5 stars","-4"
"14",3,"Trey Smack",GB,"11","4 out of 5 stars","+5"
"15",3,"Wil Lutz",DEN,"10","1 out of 5 stars","-1"
"16",3,"Evan McPherson",CIN,"6","2 out of 5 stars","-5"
"17",3,"Cairo Santos",CHI,"10","0 out of 5 stars","-4"
"18",4,"Andy Borregales",NE,"11","1 out of 5 stars","-2"
"19",4,"Joey Slye",TEN,"9","4 out of 5 stars","+10"
"20",4,"Jake Elliott",PHI,"10","5 out of 5 stars","0"
"21",4,"Tyler Bass",BUF,"7","2 out of 5 stars","-4"
"22",4,"Nick Folk",ATL,"11","0 out of 5 stars","0"
"23",4,"Matt Gay",LV,"13","1 out of 5 stars","0"
"24",4,"Ryan Fitzgerald",CAR,"5","0 out of 5 stars","+11"
"25",5,"Blake Grupe",NYJ,"13","2 out of 5 stars","0"
"26",5,"Chad Ryland",ARI,"14","2 out of 5 stars","+5"
"AD",5
"27",5,"Drew Stevens",WAS,"7","5 out of 5 stars","+6"
"28",5,"Daniel Carlson",NO,"8","5 out of 5 stars","-"
"29",5,"Spencer Shrader",IND,"13","4 out of 5 stars","-8"
"30",5,"Dominic Zvada",NYG,"8","2 out of 5 stars","-4"
"31",5,"Riley Patterson",MIA,"6","2 out of 5 stars","-7"
"32",5,"Andre Szmyt",CLE,"11","5 out of 5 stars","0"
"33",5,"Jason Sanders",FA,"-","-","-5"
"34",5,"Cade York",FA,"-","-","+10"
