"RK",TIERS,"PLAYER NAME",TEAM,"BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"1",1,"Brock Bowers",LV,"13","5 out of 5","1 out of 5","3 out of 5 stars","0"
"2",1,"Trey McBride",ARI,"14","4 out of 5","2 out of 5","2 out of 5 stars","0"
"3",1,"Colston Loveland",CHI,"10","5 out of 5","2 out of 5","2 out of 5 stars","0"
"4",1,"Tyler Warren",IND,"13","5 out of 5","2 out of 5","3 out of 5 stars","0"
"5",2,"Kyle Pitts Sr.",ATL,"11","4 out of 5","4 out of 5","3 out of 5 stars","+3"
"6",2,"Harold Fannin Jr.",CLE,"11","4 out of 5","3 out of 5","3 out of 5 stars","+1"
"7",2,"Sam LaPorta",DET,"6","4 out of 5","3 out of 5","3 out of 5 stars","-1"
"8",2,"George Kittle",SF,"8","4 out of 5","4 out of 5","3 out of 5 stars","+1"
"9",2,"Travis Kelce",KC,"5","3 out of 5","3 out of 5","4 out of 5 stars","+1"
"10",3,"Tucker Kraft",GB,"11","5 out of 5","3 out of 5","2 out of 5 stars","-5"
"11",3,"Dalton Kincaid",BUF,"7","3 out of 5","4 out of 5","3 out of 5 stars","+1"
"12",3,"Mark Andrews",BAL,"13","4 out of 5","4 out of 5","4 out of 5 stars","+3"
"13",3,"Dallas Goedert",PHI,"10","4 out of 5","3 out of 5","4 out of 5 stars","+1"
"14",3,"Jake Ferguson",DAL,"14","2 out of 5","4 out of 5","2 out of 5 stars","-1"
"15",3,"Isaiah Likely",NYG,"8","4 out of 5","3 out of 5","3 out of 5 stars","-4"
"16",3,"Juwan Johnson",NO,"8","4 out of 5","2 out of 5","2 out of 5 stars","0"
"17",4,"Hunter Henry",NE,"11","2 out of 5","4 out of 5","4 out of 5 stars","0"
"18",4,"Dalton Schultz",HOU,"8","3 out of 5","2 out of 5","4 out of 5 stars","+5"
"19",4,"Brenton Strange",JAC,"7","4 out of 5","3 out of 5","3 out of 5 stars","+2"
"20",4,"Chig Okonkwo",WAS,"7","4 out of 5","3 out of 5","1 out of 5 stars","-2"
"21",4,"T.J. Hockenson",MIN,"6","2 out of 5","4 out of 5","4 out of 5 stars","-2"
"22",4,"AJ Barner",SEA,"11","4 out of 5","2 out of 5","3 out of 5 stars","+5"
"23",4,"Kenyon Sadiq",NYJ,"13","3 out of 5","4 out of 5","4 out of 5 stars","+3"
"24",4,"Pat Freiermuth",PIT,"9","3 out of 5","3 out of 5","2 out of 5 stars","+1"
"25",4,"Terrance Ferguson",LAR,"11","4 out of 5","4 out of 5","4 out of 5 stars","-3"
"26",4,"Cade Otton",TB,"10","2 out of 5","3 out of 5","2 out of 5 stars","+3"
"",4
"27",5,"Oronde Gadsden II",LAC,"7","3 out of 5","4 out of 5","4 out of 5 stars","-3"
"28",5,"Gunnar Helm",TEN,"9","3 out of 5","4 out of 5","3 out of 5 stars","+3"
"29",5,"Greg Dulcich",MIA,"6","4 out of 5","4 out of 5","5 out of 5 stars","-1"
"30",5,"Darren Waller",CAR,"5","-","-","2 out of 5 stars","+7"
"31",5,"David Njoku",LAC,"7","4 out of 5","4 out of 5","4 out of 5 stars","-11"
"32",5,"Evan Engram",DEN,"10","-","-","4 out of 5 stars","+3"
"33",5,"Mike Gesicki",CIN,"6","-","-","3 out of 5 stars","-1"
"34",5,"Colby Parkinson",LAR,"11","-","-","4 out of 5 stars","-4"
"35",5,"Charlie Kolar",LAC,"7","-","-","4 out of 5 stars","-"
"36",5,"Michael Mayer",LV,"13","-","-","3 out of 5 stars","-"
"37",5,"Eli Stowers",PHI,"10","4 out of 5","4 out of 5","4 out of 5 stars","+1"
"38",5,"Elijah Arroyo",SEA,"11","-","-","3 out of 5 stars","-"
"39",6,"Darnell Washington",PIT,"9","-","-","2 out of 5 stars","-"
"40",6,"Eli Raridon",NE,"11","-","-","4 out of 5 stars","-"
"41",6,"Mason Taylor",NYJ,"13","1 out of 5","4 out of 5","4 out of 5 stars","-"
"42",6,"Theo Johnson",NYG,"8","2 out of 5","4 out of 5","3 out of 5 stars","+2"
"43",6,"Tyler Higbee",LAR,"11","-","-","4 out of 5 stars","-"
"44",6,"Dawson Knox",BUF,"7","-","-","3 out of 5 stars","-"
"45",6,"Matt Hibner",BAL,"13","-","-","4 out of 5 stars","-"
"46",6,"Oscar Delp",NO,"8","4 out of 5","4 out of 5","2 out of 5 stars","-"
"47",6,"Cole Kmet",CHI,"10","-","-","2 out of 5 stars","-"
"48",7,"Jake Tonges",SF,"8","-","-","3 out of 5 stars","-8"
"49",7,"Erick All Jr.",CIN,"6","-","-","3 out of 5 stars","-"
"50",7,"Zach Ertz",FA,"-","-","-","-","-"
"51",7,"Tommy Tremble",CAR,"5","-","-","2 out of 5 stars","-"
"52",7,"Ben Sinnott",WAS,"7","-","-","1 out of 5 stars","-"
"53",8,"Noah Gray",KC,"5","-","-","4 out of 5 stars","-"
"54",8,"Max Klare",LAR,"11","-","-","4 out of 5 stars","-"
