"RK",TIERS,"PLAYER NAME",TEAM,"BYE","UPSIDE ","BUST ","SOS","ECR VS ADP"
"1",1,"Ja'Marr Chase",CIN,"6","5 out of 5","1 out of 5","4 out of 5 stars","0"
"2",1,"Puka Nacua",LAR,"11","5 out of 5","2 out of 5","1 out of 5 stars","0"
"3",1,"Amon-Ra St. Brown",DET,"6","5 out of 5","1 out of 5","4 out of 5 stars","+1"
"4",1,"Jaxon Smith-Njigba",SEA,"11","5 out of 5","2 out of 5","3 out of 5 stars","-1"
"5",2,"CeeDee Lamb",DAL,"14","4 out of 5","2 out of 5","2 out of 5 stars","+1"
"6",2,"Justin Jefferson",MIN,"6","5 out of 5","2 out of 5","5 out of 5 stars","-1"
"7",2,"Drake London",ATL,"11","4 out of 5","3 out of 5","3 out of 5 stars","+1"
"8",2,"A.J. Brown",NE,"11","5 out of 5","2 out of 5","2 out of 5 stars","-1"
"9",2,"Nico Collins",HOU,"8","4 out of 5","2 out of 5","3 out of 5 stars","0"
"10",3,"George Pickens",DAL,"14","4 out of 5","4 out of 5","2 out of 5 stars","0"
"11",3,"Chris Olave",NO,"8","4 out of 5","4 out of 5","3 out of 5 stars","0"
"12",3,"DeVonta Smith",PHI,"10","4 out of 5","2 out of 5","4 out of 5 stars","+1"
"13",3,"Malik Nabers",NYG,"8","4 out of 5","4 out of 5","4 out of 5 stars","-1"
"14",3,"Zay Flowers",BAL,"13","4 out of 5","2 out of 5","4 out of 5 stars","+1"
"15",3,"Rashee Rice",KC,"5","4 out of 5","4 out of 5","2 out of 5 stars","-1"
"16",3,"Tee Higgins",CIN,"6","5 out of 5","2 out of 5","4 out of 5 stars","+2"
"17",4,"Davante Adams",LAR,"11","4 out of 5","4 out of 5","1 out of 5 stars","+8"
"18",4,"Emeka Egbuka",TB,"10","4 out of 5","3 out of 5","4 out of 5 stars","+4"
"19",4,"Tetairoa McMillan",CAR,"5","4 out of 5","3 out of 5","2 out of 5 stars","-3"
"20",4,"Jaylen Waddle",DEN,"10","4 out of 5","3 out of 5","2 out of 5 stars","+1"
"21",4,"Garrett Wilson",NYJ,"13","4 out of 5","4 out of 5","4 out of 5 stars","-2"
"22",4,"Ladd McConkey",LAC,"7","4 out of 5","3 out of 5","2 out of 5 stars","-5"
"23",4,"Jameson Williams",DET,"6","4 out of 5","3 out of 5","4 out of 5 stars","+3"
"24",4,"Luther Burden III",CHI,"10","4 out of 5","4 out of 5","3 out of 5 stars","-1"
"25",4,"Terry McLaurin",WAS,"7","4 out of 5","2 out of 5","2 out of 5 stars","-1"
"26",4,"Christian Watson",GB,"11","4 out of 5","4 out of 5","5 out of 5 stars","+3"
"",4
"27",4,"Rome Odunze",CHI,"10","4 out of 5","3 out of 5","3 out of 5 stars","0"
"28",5,"DJ Moore",BUF,"7","4 out of 5","2 out of 5","4 out of 5 stars","-8"
"29",5,"Mike Evans",SF,"8","4 out of 5","4 out of 5","2 out of 5 stars","-1"
"30",5,"DK Metcalf",PIT,"9","3 out of 5","3 out of 5","3 out of 5 stars","+6"
"31",5,"Parker Washington",JAC,"7","4 out of 5","2 out of 5","4 out of 5 stars","-1"
"32",5,"Marvin Harrison Jr.",ARI,"14","3 out of 5","4 out of 5","2 out of 5 stars","0"
"33",5,"Courtland Sutton",DEN,"10","2 out of 5","4 out of 5","2 out of 5 stars","+4"
"34",5,"Carnell Tate",TEN,"9","4 out of 5","2 out of 5","3 out of 5 stars","-3"
"35",5,"Quentin Johnston",LAC,"7","4 out of 5","4 out of 5","2 out of 5 stars","+4"
"36",5,"Michael Pittman Jr.",PIT,"9","3 out of 5","3 out of 5","3 out of 5 stars","+10"
"37",5,"Jayden Reed",GB,"11","4 out of 5","4 out of 5","5 out of 5 stars","+6"
"38",5,"Stefon Diggs",WAS,"7","4 out of 5","2 out of 5","2 out of 5 stars","+3"
"39",5,"Brian Thomas Jr.",JAC,"7","2 out of 5","4 out of 5","4 out of 5 stars","-6"
"40",5,"Chris Godwin Jr.",TB,"10","4 out of 5","4 out of 5","4 out of 5 stars","-5"
"41",6,"Josh Downs",IND,"13","3 out of 5","4 out of 5","4 out of 5 stars","+4"
"42",6,"Alec Pierce",IND,"13","4 out of 5","4 out of 5","4 out of 5 stars","-4"
"43",6,"Deebo Samuel Sr.",SF,"8","4 out of 5","3 out of 5","2 out of 5 stars","+10"
"44",6,"Jordan Addison",MIN,"6","4 out of 5","3 out of 5","5 out of 5 stars","-4"
"45",6,"De'Zhaun Stribling",SF,"8","4 out of 5","4 out of 5","2 out of 5 stars","-3"
"46",6,"Jakobi Meyers",JAC,"7","2 out of 5","3 out of 5","4 out of 5 stars","+5"
"47",6,"Romeo Doubs",NE,"11","4 out of 5","3 out of 5","2 out of 5 stars","+9"
"48",6,"Michael Wilson",ARI,"14","-","-","2 out of 5 stars","-14"
"49",6,"Wan'Dale Robinson",TEN,"9","4 out of 5","3 out of 5","3 out of 5 stars","0"
"50",6,"Xavier Worthy",KC,"5","4 out of 5","4 out of 5","2 out of 5 stars","+2"
"51",6,"Matthew Golden",GB,"11","3 out of 5","4 out of 5","5 out of 5 stars","-1"
"52",6,"Khalil Shakir",BUF,"7","2 out of 5","4 out of 5","4 out of 5 stars","+8"
"53",6,"KC Concepcion",CLE,"11","4 out of 5","3 out of 5","3 out of 5 stars","-5"
"54",6,"Makai Lemon",PHI,"10","4 out of 5","2 out of 5","4 out of 5 stars","-10"
"55",6,"Jalen Coker",CAR,"5","4 out of 5","3 out of 5","2 out of 5 stars","+3"
"56",6,"Jordyn Tyson",NO,"8","3 out of 5","5 out of 5","3 out of 5 stars","-9"
"57",7,"Tre Tucker",LV,"13","4 out of 5","2 out of 5","2 out of 5 stars","+4"
"58",7,"Rashid Shaheed",SEA,"11","3 out of 5","4 out of 5","3 out of 5 stars","-4"
"59",7,"Jalen McMillan",TB,"10","4 out of 5","3 out of 5","4 out of 5 stars","+18"
"60",7,"Denzel Boston",CLE,"11","4 out of 5","4 out of 5","3 out of 5 stars","+3"
"61",7,"Caleb Douglas",MIA,"6","3 out of 5","4 out of 5","3 out of 5 stars","+14"
"62",7,"Dontayvion Wicks",PHI,"10","4 out of 5","4 out of 5","4 out of 5 stars","+6"
"63",7,"Keenan Allen",IND,"13","3 out of 5","3 out of 5","4 out of 5 stars","-4"
"64",7,"Kayshon Boutte",HOU,"8","3 out of 5","4 out of 5","3 out of 5 stars","-9"
"65",7,"Adonai Mitchell",NYJ,"13","4 out of 5","4 out of 5","4 out of 5 stars","+14"
"66",7,"Jalen Nailor",LV,"13","-","-","2 out of 5 stars","-4"
"67",7,"Jerry Jeudy",CLE,"11","1 out of 5","4 out of 5","3 out of 5 stars","+6"
"68",7,"Tre' Harris",LAC,"7","4 out of 5","2 out of 5","2 out of 5 stars","+10"
"69",7,"Omar Cooper Jr.",NYJ,"13","4 out of 5","4 out of 5","4 out of 5 stars","+5"
"70",7,"Ryan Flournoy",DAL,"14","4 out of 5","3 out of 5","2 out of 5 stars","+13"
"71",7,"Travis Hunter",JAC,"7","3 out of 5","4 out of 5","4 out of 5 stars","+1"
"72",7,"Jauan Jennings",MIN,"6","2 out of 5","4 out of 5","5 out of 5 stars","-8"
"73",7,"Calvin Ridley",TEN,"9","2 out of 5","4 out of 5","3 out of 5 stars","+7"
"74",7,"Ja'Kobi Lane",BAL,"13","4 out of 5","4 out of 5","4 out of 5 stars","-17"
"75",7,"Pat Bryant",DEN,"10","3 out of 5","4 out of 5","2 out of 5 stars","+7"
"76",8,"Cyrus Allen",KC,"5","4 out of 5","4 out of 5","2 out of 5 stars","-5"
"77",8,"Malik Washington",MIA,"6","3 out of 5","4 out of 5","3 out of 5 stars","-8"
"78",8,"Cooper Kupp",SEA,"11","2 out of 5","4 out of 5","3 out of 5 stars","-13"
"79",8,"Malachi Fields",NYG,"8","4 out of 5","4 out of 5","4 out of 5 stars","-9"
"80",8,"Rashod Bateman",BAL,"13","3 out of 5","4 out of 5","4 out of 5 stars","-"
"81",8,"Zachariah Branch",ATL,"11","3 out of 5","4 out of 5","3 out of 5 stars","+4"
"82",8,"Isaac TeSlaa",DET,"6","3 out of 5","4 out of 5","4 out of 5 stars","-15"
"83",8,"Xavier Legette",CAR,"5","2 out of 5","4 out of 5","2 out of 5 stars","-"
"84",8,"Jaylin Noel",HOU,"8","4 out of 5","3 out of 5","3 out of 5 stars","+6"
"85",8,"Devaughn Vele",NO,"8","2 out of 5","4 out of 5","3 out of 5 stars","+2"
"86",8,"Antonio Williams",WAS,"7","4 out of 5","2 out of 5","2 out of 5 stars","+3"
"87",8,"Darnell Mooney",NYG,"8","3 out of 5","4 out of 5","4 out of 5 stars","+12"
"88",8,"Ted Hurst III",TB,"10","4 out of 5","4 out of 5","4 out of 5 stars","-4"
"89",8,"Chris Bell",MIA,"6","4 out of 5","4 out of 5","3 out of 5 stars","-13"
"90",8,"Germie Bernard",PIT,"9","2 out of 5","4 out of 5","3 out of 5 stars","+1"
"",8
"91",8,"Tank Dell",HOU,"8","4 out of 5","5 out of 5","3 out of 5 stars","-10"
"92",8,"Keon Coleman",BUF,"7","2 out of 5","4 out of 5","4 out of 5 stars","-6"
"93",8,"Jack Bech",LV,"13","3 out of 5","4 out of 5","2 out of 5 stars","+3"
"94",8,"Tyquan Thornton",KC,"5","2 out of 5","5 out of 5","2 out of 5 stars","-"
"95",8,"Andrei Iosivas",CIN,"6","-","-","4 out of 5 stars","-"
"96",8,"Jahan Dotson",ATL,"11","-","-","3 out of 5 stars","-2"
"97",8,"Troy Franklin",DEN,"10","1 out of 5","5 out of 5","2 out of 5 stars","+5"
"98",9,"Darius Slayton",NYG,"8","2 out of 5","4 out of 5","4 out of 5 stars","-"
"99",9,"KaVontae Turpin",DAL,"14","-","-","2 out of 5 stars","-"
"100",9,"Jalen Tolbert",MIA,"6","-","-","3 out of 5 stars","-"
"101",9,"Tory Horton",SEA,"11","4 out of 5","4 out of 5","3 out of 5 stars","-1"
"102",9,"DeMario Douglas",NE,"11","-","-","2 out of 5 stars","-"
"103",9,"Bryce Lance",NO,"8","-","-","3 out of 5 stars","-"
"104",9,"Kendrick Bourne",ARI,"14","-","-","2 out of 5 stars","-"
"105",9,"Kyle Williams",NE,"11","3 out of 5","4 out of 5","2 out of 5 stars","-"
"106",9,"Roman Wilson",PIT,"9","-","-","3 out of 5 stars","-"
"107",9,"Malik Benson",LV,"13","-","-","2 out of 5 stars","-"
"108",9,"Elijah Sarratt",BAL,"13","3 out of 5","3 out of 5","4 out of 5 stars","-"
"109",9,"Marvin Mims Jr.",DEN,"10","3 out of 5","4 out of 5","2 out of 5 stars","-"
"110",9,"Hollywood Brown",PHI,"10","-","-","4 out of 5 stars","-"
"111",9,"Brenen Thompson",LAC,"7","-","-","2 out of 5 stars","-"
"112",9,"Elic Ayomanor",TEN,"9","1 out of 5","5 out of 5","3 out of 5 stars","-"
"113",9,"Mack Hollins",NE,"11","-","-","2 out of 5 stars","-"
"114",9,"Zavion Thomas",CHI,"10","-","-","3 out of 5 stars","-"
"115",9,"Xavier Hutchinson",HOU,"8","-","-","3 out of 5 stars","-"
"116",9,"Odell Beckham Jr.",NYG,"8","-","-","4 out of 5 stars","-28"
"117",9,"Christian Kirk",SF,"8","1 out of 5","5 out of 5","2 out of 5 stars","-"
"118",9,"Chimere Dike",TEN,"9","1 out of 5","5 out of 5","3 out of 5 stars","-"
"119",9,"Kalif Raymond",CHI,"10","-","-","3 out of 5 stars","-"
"120",9,"Olamide Zaccheaus",ATL,"11","-","-","3 out of 5 stars","-"
"121",9,"Brandon Aiyuk",SF,"8","2 out of 5","5 out of 5","2 out of 5 stars","-18"
"122",9,"Isaiah Williams",NYJ,"13","-","-","4 out of 5 stars","-"
"123",10,"Colbie Young",CIN,"6","-","-","4 out of 5 stars","-"
"124",10,"Isaiah Bond",CLE,"11","-","-","3 out of 5 stars","-"
"125",10,"CJ Daniels",LAR,"11","-","-","1 out of 5 stars","-"
"126",10,"Skyler Bell",BUF,"7","-","-","4 out of 5 stars","-34"
"127",10,"Tyreek Hill",FA,"-","1 out of 5","5 out of 5","-","-61"
"128",10,"Treylon Burks",WAS,"7","-","-","2 out of 5 stars","-"
"129",10,"Tez Johnson",TB,"10","-","-","4 out of 5 stars","-"
"130",10,"Jalen Royals",KC,"5","-","-","2 out of 5 stars","-"
"131",10,"Konata Mumpfield",LAR,"11","-","-","1 out of 5 stars","-"
"132",10,"Luke McCaffrey",WAS,"7","-","-","2 out of 5 stars","-"
"133",10,"Chris Brazzell II",CAR,"5","-","-","2 out of 5 stars","-"
"134",10,"Joshua Palmer",BUF,"7","-","-","4 out of 5 stars","-"
